CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50116793,VIVI BUBBLE TEA,Manhattan,325,BROADWAY,10007,6462507765,Coffee/Tea,4/9/2024,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,26,B,4/9/2024,10/30/2024,Cycle Inspection / Re-inspection,40.71599139,-74.00478692,101,1,3300,1079211,1001520025,MN24,
41623184,CHARLOTTE PATISSERIE,Brooklyn,596,MANHATTAN AVENUE,11222,7183838313,Coffee/Tea,1/30/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,9,,,10/30/2024,Cycle Inspection / Initial Inspection,40.72302107,-73.95034709,301,33,56900,3066759,3026800044,BK76,
50124859,ALMAH COFFEE SHOP,Brooklyn,87,UTICA AVENUE,11213,3475336494,Jewish/Kosher,2/24/2023,Violations were cited in the following area(s).,20-01,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,Not Critical,,,,10/30/2024,Administrative Miscellaneous / Initial Inspection,40.67592964,-73.93043497,308,36,30700,3324595,3013430001,BK61,
50122544,FRIENDSHIP BBQ,Queens,13676,39TH AVE,11354,3475423909,Korean,3/16/2023,Violations were cited in the following area(s).,28-04,Equipment used for ROP not approved by the Department,Not Critical,,,,10/30/2024,Administrative Miscellaneous / Initial Inspection,40.7608189,-73.82788269,407,20,87100,4112497,4049800035,QN22,
40366497,THE PUNCH BOWL,Bronx,5820,BROADWAY,10463,6463599068,American,8/5/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,8/5/2021,10/30/2024,Cycle Inspection / Initial Inspection,40.88520606,-73.90057393,208,11,28300,2094716,2032710189,BX29,
41665894,ESSEN,Manhattan,515,MADISON AVENUE,10022,2122074566,American,12/6/2022,Establishment re-opened by DOHMH.,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,Z,12/6/2022,10/30/2024,Cycle Inspection / Reopening Inspection,40.75965768,-73.97378274,105,4,10200,1035728,1012890021,MN17,
41237926,STARBUCKS,Manhattan,1261,LEXINGTON AVENUE,10028,2128791764,Coffee/Tea,10/28/2022,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,10/28/2022,10/30/2024,Cycle Inspection / Initial Inspection,40.77870914,-73.95614397,108,5,14801,1047689,1015137502,MN40,
40369016,VIAND COFFEE SHOP,Manhattan,673,MADISON AVENUE,10065,2127516622,Greek,8/30/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,54,,,10/30/2024,Cycle Inspection / Initial Inspection,40.76492405,-73.97041615,108,4,11401,1040850,1013760021,MN40,
50144656,TEX*S CHICKEN & BURGERS,Queens,14414,NORTHERN BLVD,11354,7187990115,American,4/30/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,32,N,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.76468988,-73.82303528,407,20,116300,4113419,4050140009,QN51,
50110468,SULLIVAN TAQUERIA,Manhattan,71,SULLIVAN STREET,10012,6467070077,Tex-Mex,12/14/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,12/14/2023,10/30/2024,Cycle Inspection / Initial Inspection,40.72461822,-74.0038892,102,3,4700,1007347,1004890008,MN24,
50048555,SUBWAY,Manhattan,3559,BROADWAY,10031,3472764949,Sandwiches,10/20/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,37,,,10/30/2024,Cycle Inspection / Initial Inspection,40.82691268,-73.95010305,109,7,22900,1062381,1020920036,MN04,
50154136,OMG SHAWARMA,Manhattan,131,7 AVENUE SOUTH,10014,6464490555,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.73450217,-74.00228408,102,3,7300,1010837,1006110034,MN23,
50125224,BARO 1376 RESTAURANT & BAR,Queens,75-32,BROADWAY,11373,3478480753,Asian/Asian Fusion,4/16/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,39,,,10/30/2024,Cycle Inspection / Initial Inspection,40.74604881,-73.88998078,404,25,26700,4311943,4014860051,QN29,
50103804,Paratha Wala,Queens,10309,METROPOLITAN AVE,11375,2127314547,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.71026056,-73.84957653,406,29,73100,4077535,4032400049,QN17,
50080621,ILUSION TAVERN,Queens,10507,NORTHERN BLVD,11368,9177156728,Latin American,3/29/2022,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,16,,,10/30/2024,Cycle Inspection / Initial Inspection,40.75773232,-73.86354275,403,21,36500,4042143,4017000042,QN27,
41264387,CUENCA COFFEE SHOP RESTAURANT,Queens,9529,JAMAICA AVENUE,11421,7188474642,Latin American,3/29/2022,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,22,,,10/30/2024,Cycle Inspection / Initial Inspection,40.69444228,-73.84946811,409,32,2200,4182440,4088830083,QN53,
50018654,CHIKURIN,Brooklyn,1777,OCEAN AVENUE,11230,7183381818,Japanese,7/14/2022,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,0,A,7/14/2022,10/30/2024,Cycle Inspection / Re-inspection,40.61894383,-73.95510029,314,45,76000,3209144,3076380006,BK43,
50107574,CROFFLE HOUSE,Queens,4017,149TH PL,11354,9179080405,Bakery Products/Desserts,2/14/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2/14/2024,10/30/2024,Cycle Inspection / Re-inspection,40.7629838,-73.81506919,407,20,116700,4438123,4050310010,QN51,
50044307,AMORINO,Manhattan,721,8 AVENUE,10036,2124450101,Frozen Desserts,7/7/2022,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,11,A,7/7/2022,10/30/2024,Cycle Inspection / Re-inspection,40.75938011,-73.98823603,104,3,12100,1025011,1010360029,MN15,
50103137,PIZZA COLLECTIVE,Manhattan,2060,BROADWAY,10023,6466930949,Pizza,3/21/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,39,,,10/30/2024,Cycle Inspection / Re-inspection,40.77793661,-73.9820765,107,6,15700,1029873,1011430001,MN14,
50118556,RICO TACO,Brooklyn,123,WYCKOFF AVENUE,11237,7186698198,Mexican,7/17/2023,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,19,N,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.70421806,-73.91908034,304,37,44500,3342239,3032490008,BK77,
50086736,WIN PARKWAY,Brooklyn,6812,BAY PARKWAY,11204,7182328008,Chinese,12/21/2023,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,38,,,10/30/2024,Cycle Inspection / Initial Inspection,40.61182599,-73.98353673,311,43,25800,3135136,3055800042,BK28,
50128076,WEST PLACE,Manhattan,1288,AMSTERDAM AVENUE,10027,2129329390,Chinese,10/20/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,26,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.81156983,-73.95759253,109,7,21100,1084108,1019780001,MN09,
41465557,AQUI EN BELLA PUEBLA MEXICAN RESTAURANT,Queens,9411,ROOSEVELT AVENUE,11372,7186397300,Mexican,7/2/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,7/2/2024,10/30/2024,Cycle Inspection / Initial Inspection,40.74884677,-73.87243223,403,21,27300,4036561,4014820046,QN28,
40619544,CAFETERIA,Manhattan,119,7 AVENUE,10011,2124141717,American,6/27/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,6/27/2023,10/30/2024,Cycle Inspection / Initial Inspection,40.7405983,-73.99817402,104,3,8100,1014648,1007930001,MN13,
50142851,MANHATTAN BEACH PIZZA,Brooklyn,1623,ORIENTAL BOULEVARD,11235,7189212575,Pizza,12/6/2023,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,4,A,12/6/2023,10/30/2024,Pre-permit (Operational) / Re-inspection,40.57838468,-73.93858267,315,48,61600,3246741,3087570015,BK17,
50114990,3 TIMES,Manhattan,9096,CLINTON ST,,9293077777,Chinese,4/7/2023,Establishment re-opened by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,13,Z,4/7/2023,10/30/2024,Cycle Inspection / Reopening Inspection,0,0,,,,,1,,
50137282,GOLDEN DRAGON,Brooklyn,394,METROPOLITAN AVENUE,11211,6463594855,Chinese,8/15/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,9,A,8/15/2023,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.7140586,-73.95506843,301,34,51900,3062508,3023690017,BK73,
50045536,ALL IN,Queens,4508,PARSONS BLVD,11355,7187374666,Chinese,8/24/2021,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,33,,,10/30/2024,Cycle Inspection / Initial Inspection,40.75548295,-73.81544021,407,20,120100,4117536,4052050021,QN52,
50148139,METRO CAFE,Manhattan,297,7 AVENUE,10001,6464097294,American,7/22/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,28,Z,7/22/2024,10/30/2024,Pre-permit (Operational) / Re-inspection,40.74646096,-73.99391164,105,3,9500,1015058,1008020078,MN17,
50071316,Rincon Melania's,Queens,35-11,QUEENS BOULEVARD,11101,9177717155,Latin American,6/22/2022,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,38,,,10/30/2024,Cycle Inspection / Initial Inspection,40.74443037,-73.92961974,402,26,17900,4003167,4002220048,QN31,
50143169,LA MORRA FONDA REST. & BAR,Queens,9101,ASTORIA BLVD,11369,9733858820,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.76349079,-73.87813661,403,22,34700,4032451,4013650001,QN28,
50139858,NEW CASTLE DELICATESSEN,Queens,14934,GUY R BREWER BLVD,11434,3472462463,Spanish,10/23/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,38,,,10/30/2024,Cycle Inspection / Initial Inspection,40.65754178,-73.76754616,413,31,32000,4286143,4133840080,QN03,
50044182,HINTERLANDS,Brooklyn,739,CHURCH AVENUE,11218,7186330550,American,4/15/2024,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,13,A,4/15/2024,10/30/2024,Cycle Inspection / Initial Inspection,40.64588652,-73.97203306,312,40,50400,3124381,3053300049,BK40,
41611875,VALHALLA,Manhattan,815,9 AVENUE,10019,2127572747,American,2/1/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,21,,,10/30/2024,Cycle Inspection / Initial Inspection,40.76589331,-73.98720241,104,3,13300,1082423,1010630034,MN15,
50119598,OKIBORU,Manhattan,117,ORCHARD STREET,10002,4703508686,Japanese,4/27/2022,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,15,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.71926553,-73.98965367,103,1,1800,1005508,1004150078,MN27,
50044753,MAMA ROSARIA'S PIZZERIA RESTAURANT,Staten Island,2146,FOREST AVENUE,10303,7188150557,Pizza,12/21/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,38,,,10/30/2024,Cycle Inspection / Initial Inspection,40.6265606,-74.16096229,501,49,30302,5033595,5016900036,SI12,
41267566,SMITH & MILLS,Manhattan,71,NORTH MOORE STREET,10013,2122262515,American,2/27/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11,A,2/27/2023,10/30/2024,Cycle Inspection / Initial Inspection,40.72008351,-74.009845,101,1,3900,1002123,1001880009,MN24,
50090647,LUNA'S KITCHEN AND BAR,Queens,7702,ROOSEVELT AVE,11372,9173108583,Mexican,7/21/2022,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,27,,,10/30/2024,Cycle Inspection / Initial Inspection,40.74713434,-73.88852816,404,25,26700,4036779,4014880001,QN29,
50118533,JEFFREY KATZ,Manhattan,85,W 10TH ST,10011,2123393970,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.73452688,-73.9980948,102,2,6300,,1,MN23,
50142176,CURDS THE WORD,Manhattan,42,WEST   42 STREET,10036,5165109228,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.75406824,-73.98232117,105,4,8400,1085593,1012570002,MN17,
40591492,LOVELL'S GUIDING LIGHT,Queens,148-33,HILLSIDE AVENUE,11435,7182973153,American,5/26/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,5/26/2023,10/30/2024,Cycle Inspection / Initial Inspection,40.70617769,-73.8081833,408,24,23800,4207417,4097040053,QN61,
50090726,PEASANT STOCK,Manhattan,88,ESSEX STREET,10002,2122547687,Soups,5/18/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,9,A,5/18/2023,10/30/2024,Cycle Inspection / Initial Inspection,40.71814005,-73.98840207,103,1,1800,1090554,1003527501,MN27,
50157646,LA TIRAMISU,Manhattan,1643,2 AVENUE,10028,6504921640,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.77739828,-73.95209728,108,5,14601,1048769,1015310022,MN32,
50130636,HAINAN CHICKEN HOUSE,Brooklyn,4807,8 AVENUE,11220,3473653864,Chinese,9/12/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,53,Z,9/12/2023,10/30/2024,Pre-permit (Operational) / Re-inspection,40.64211583,-74.00264844,312,38,10800,3012811,3007780007,BK34,
50122959,BEATNIC,Manhattan,181,FRONT STREET,10038,3323332087,Vegetarian,1/31/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A,1/31/2024,10/30/2024,Cycle Inspection / Initial Inspection,40.70647254,-74.00442556,101,1,1502,1082000,1000740001,MN25,
50057057,RIKO PERUVIAN CUISINE,Queens,4506,GREENPOINT AVE,11104,9178326758,Latin American,2/5/2020,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,27,,,10/30/2024,Cycle Inspection / Initial Inspection,40.74188497,-73.91972368,402,26,18300,4001962,4001650006,QN31,
41561572,SUBWAY,Queens,6101,JUNCTION BOULEVARD,11374,7182712001,Sandwiches,9/13/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,9/13/2022,10/30/2024,Cycle Inspection / Initial Inspection,40.73346937,-73.8641916,406,29,71702,4615634,4020807501,QN18,
41556098,UDOM THAI,Brooklyn,661,WASHINGTON AVENUE,11238,7186228424,Thai,8/12/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,45,,,10/30/2024,Cycle Inspection / Initial Inspection,40.67737502,-73.96367369,308,35,20500,3028591,3011540012,BK64,
50068508,KUNG FU TEA,Queens,8202,ROOSEVELT AVE,11372,7186852886,Coffee/Tea,4/20/2024,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,9,A,4/20/2024,10/30/2024,Cycle Inspection / Re-inspection,40.74763192,-73.88378142,404,21,26901,4036893,4014930001,QN29,
50131083,PARASHADES,Brooklyn,241,FLATBUSH AVENUE,11217,9175677316,Pizza,9/13/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,28,,,10/30/2024,Cycle Inspection / Initial Inspection,40.68105611,-73.97527035,306,35,12902,3027786,3011350002,BK37,
50107980,SAAR,Manhattan,241,WEST   51 STREET,10019,6466092142,Indian,10/8/2022,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,27,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.76240438,-73.9844271,105,3,13100,1024816,1010230006,MN17,
41221138,DOUBLE DOWN SALOON,Manhattan,14,AVENUE A,10009,2129820543,American,6/11/2024,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19,,,10/30/2024,Cycle Inspection / Initial Inspection,40.72270158,-73.98595886,103,2,3002,1083434,1003970006,MN22,
50074204,MR. MARIO,Queens,1804,COLLEGE POINT BLVD,11356,7189617398,Latin American,5/10/2022,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,0,,,10/30/2024,Cycle Inspection / Initial Inspection,40.78298096,-73.84587646,407,19,92500,4098304,4040830022,QN23,
50043897,GOLDEN RING,Bronx,4342,WHITE PLAINS ROAD,10466,7183245794,Caribbean,5/26/2022,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,0,,,10/30/2024,Cycle Inspection / Initial Inspection,40.89673551,-73.85551552,212,11,43400,2069784,2050430028,BX62,
40965997,BONSIGNOUR,Manhattan,35,JANE STREET,10014,2122299700,American,2/8/2022,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,0,,,10/30/2024,Cycle Inspection / Initial Inspection,40.73813617,-74.00447097,102,3,7700,1077100,1006260047,MN23,
40395921,GOLDEN PIZZA,Bronx,504,EAST  138 STREET,10454,7186658328,Pizza,10/18/2022,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,25,,,10/30/2024,Cycle Inspection / Initial Inspection,40.8076409,-73.91945984,201,8,2500,2090988,2022650006,BX39,
50066621,"DUNKIN', POPEYES",Brooklyn,1556,BROADWAY,11221,3474251537,Donuts,3/24/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,3/24/2022,10/30/2024,Cycle Inspection / Initial Inspection,40.6859905,-73.91593313,316,41,37300,3347095,3014920024,BK79,
50134692,Hijole Bar Stand 340,Queens,126,Roosevelt Avenue,,4072277372,American,4/17/2023,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,10/30/2024,Pre-permit (Non-operational) / Initial Inspection,0,0,,,,,4,,
50099704,MASTER'S PIZZERIA,Brooklyn,5201,5 AVENUE,11220,7184396012,Pizza,6/7/2022,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,24,,,10/30/2024,Cycle Inspection / Initial Inspection,40.64388841,-74.01156336,307,38,10000,3013942,3008080009,BK34,
41474909,MI CASITA RESTARANT,Manhattan,1484,AMSTERDAM AVENUE,10031,2122343331,Mexican,2/7/2023,Violations were cited in the following area(s).,20-08,Failure to post or conspicuously post healthy eating information,Not Critical,,,,10/30/2024,Administrative Miscellaneous / Re-inspection,40.81785351,-73.95300739,109,7,21900,1059739,1019870031,MN06,
50051737,SPRING PLACE,Manhattan,6,SAINT JOHNS LANE,10013,2122575620,Mediterranean,10/22/2024,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,33,,,10/30/2024,Cycle Inspection / Initial Inspection,40.72072057,-74.00591644,101,1,3300,1002734,1002127504,MN24,
41641204,CHINA GARDEN RESTAURANT,Brooklyn,206,JAMAICA AVENUE,11207,7186470520,Chinese,8/16/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,,,10/30/2024,Cycle Inspection / Initial Inspection,40.68044847,-73.8925447,305,37,114600,3086814,3039170010,BK83,
50087865,ORTOMARE RISTORANTE PIZZERIA,Manhattan,994,COLUMBUS AVENUE,10025,2126652970,Italian,3/9/2023,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,42,,,10/30/2024,Cycle Inspection / Initial Inspection,40.80107531,-73.96153628,107,7,19300,1079465,1018630029,MN09,
50129188,ASIAN GOURMET,Manhattan,1509,LEXINGTON AVENUE,10029,9179389334,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.78675985,-73.95025965,111,5,15802,1051729,1016250020,MN33,
50088359,BLT PRIME,Manhattan,1032,LEXINGTON AVENUE,10021,2129958500,American,6/6/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,6/6/2024,10/30/2024,Cycle Inspection / Initial Inspection,40.7715527,-73.96138732,108,4,12800,1043058,1014080056,MN40,
50104860,NOVA SOCCER CLUB,Queens,775,WOODWARD AVENUE,11385,9173743854,Coffee/Tea,9/29/2021,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,28,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.70384678,-73.90390031,405,30,58900,4083310,4034810014,QN20,
50110868,OCEAN EATS,Brooklyn,865,4 AVENUE,11232,7188088817,Seafood,10/24/2022,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,,,10/30/2024,Cycle Inspection / Initial Inspection,40.65662201,-74.00199667,307,38,10100,3010014,3006770001,BK32,
50017723,CLARENDON CUISINE,Brooklyn,252,EAST   54 STREET,11203,9175077657,Caribbean,5/16/2022,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,38,,,10/30/2024,Cycle Inspection / Initial Inspection,40.65207781,-73.92652452,317,45,86200,3102259,3046790028,BK96,
40747050,SAMARIA PIZZA,Queens,2107,BROADWAY,11106,7185455304,Pizza,1/3/2022,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,10,A,1/3/2022,10/30/2024,Cycle Inspection / Initial Inspection,40.76511053,-73.93148223,401,22,7700,4006383,4005540001,QN70,
50158879,YAAAS TEA,Queens,11815,QUEENS BLVD,11375,9175672289,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.71497643,-73.83203086,406,29,75701,4052809,4022700013,QN17,
50092851,KIKI'S,Manhattan,130,DIVISION STREET,10002,6468827052,Greek,8/30/2022,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,38,,,10/30/2024,Cycle Inspection / Initial Inspection,40.7144404,-73.99185845,103,1,1600,1003798,1002940021,MN27,
50158724,,Brooklyn,356,THROOP AVENUE,11221,3107569850,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.6920675,-73.94276151,303,36,26100,3413813,3017810040,BK75,
50059102,FAMILY KITCHEN,Queens,10756,SUTPHIN BLVD,11435,7187393377,Chinese,9/20/2023,Violations were cited in the following area(s).,28-06,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,51,C,9/20/2023,10/30/2024,Cycle Inspection / Re-inspection,40.69327095,-73.79969214,412,28,19800,4452280,4119450062,QN01,
50048297,CAFE GOURMET,Brooklyn,9,HANOVER PLACE,11201,7182220090,American,1/27/2022,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,1/27/2022,10/30/2024,Cycle Inspection / Re-inspection,40.68906391,-73.98228438,302,33,3700,3000464,3001610027,BK38,
41204942,CACIO E VINO,Manhattan,80,2 AVENUE,10003,2122283269,Italian,6/7/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,6/7/2022,10/30/2024,Cycle Inspection / Initial Inspection,40.72650069,-73.9891763,103,2,3800,1006202,1004460005,MN22,
50110163,MOGE TEE,Queens,7015,AUSTIN ST,11375,3474718511,Coffee/Tea,10/4/2021,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,21,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.72077164,-73.84645018,406,29,71100,4314649,4032387501,QN17,
50004599,BELLA PIZZA OF BRONX,Bronx,4555,3 AVENUE,10458,7184838861,Pizza,4/23/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,37,Z,4/23/2024,10/30/2024,Cycle Inspection / Re-inspection,40.85473582,-73.89040761,206,15,38500,2117679,2030520038,BX01,
41299987,DUNKIN,Bronx,209,WEST  231 STREET,10463,7184322741,Donuts,4/24/2023,Violations were cited in the following area(s).,19-10,Failure to display required signage about plastic straw availability,Not Critical,,,,10/30/2024,Administrative Miscellaneous / Initial Inspection,40.87909741,-73.9051323,208,11,28900,2083161,2057040047,BX29,
50157833,PRET A MANGER,Manhattan,420,7 AVENUE,10001,9146459354,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.75045989,-73.9910167,105,3,10100,1014385,1007830034,MN17,
50090686,LA GATA GOLOSA,Queens,3018,BROADWAY,11106,7188061493,Latin American,3/7/2024,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,11,A,3/7/2024,10/30/2024,Cycle Inspection / Re-inspection,40.76223059,-73.92596575,401,22,5900,4430913,4005870034,QN70,
40366938,LULU'S COFFEE SHOP,Bronx,1191,CASTLE HILL AVENUE,10462,7188223568,Coffee/Tea,5/3/2023,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,19,,,10/30/2024,Cycle Inspection / Initial Inspection,40.83170704,-73.85099931,209,18,9200,2026488,2038110036,BX59,
50148756,ISTANBUL CLINTON HILL,Brooklyn,852,FULTON STREET,11238,3476778707,Turkish,8/19/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,57,N,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.6835546,-73.96727949,302,35,19900,3057534,3020100032,BK69,
50116941,EMPIRE III,Manhattan,1902,A C POWELL BOULEVARD,10026,3476229308,Chinese,7/29/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,17,,,10/30/2024,Cycle Inspection / Initial Inspection,40.80264211,-73.95295316,110,9,21800,1055237,1018310029,MN11,
50105651,$1.50 FRESH PIZZA & HOT DOG,Manhattan,131,AVENUE A,10009,6464093489,Pizza,5/18/2023,Violations were cited in the following area(s).,20-06,Current letter grade or Grade Pending card not posted,Not Critical,,,,10/30/2024,Administrative Miscellaneous / Initial Inspection,40.72681284,-73.98299229,103,2,3200,1005881,1004360034,MN22,
50069376,QINGDAO,Queens,4046,MAIN ST,11354,9292582233,Chinese,10/30/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,31,,,10/30/2024,Cycle Inspection / Initial Inspection,40.75846921,-73.82961059,407,20,87100,4114146,4050370061,QN22,
